Artist,Song,URL
Billie Eilish,Bad Guy,https://www.whosampled.com/Billie-Eilish/Bad-Guy/
Third Eye Blind,Semi-Charmed Life,https://www.whosampled.com/Third-Eye-Blind/Semi-Charmed-Life/
Elvis Presley,Can’t Help Falling in Love,https://www.whosampled.com/Elvis-Presley/Can%27t-Help-Falling-in-Love/
Fugees,Killing Me Softly,https://www.whosampled.com/Fugees/Killing-Me-Softly/
Beyoncé,Single Ladies (Put a Ring on It),https://www.whosampled.com/Beyonc%C3%A9/Single-Ladies-%28Put-a-Ring-on-It%29/
The Miracles,The Tracks of My Tears,https://www.whosampled.com/The-Miracles/The-Tracks-of-My-Tears/
Justin Timberlake,SexyBack,https://www.whosampled.com/Justin-Timberlake/SexyBack/
Lil Nas X feat. Billy Ray Cyrus,Old Town Road (Remix),https://www.whosampled.com/Lil-Nas-X/Old-Town-Road-%28Remix%29/
Don McLean,American Pie,https://www.whosampled.com/Don-McLean/American-Pie/
The Beach Boys,God Only Knows,https://www.whosampled.com/The-Beach-Boys/God-Only-Knows/
Dionne Warwick,Walk on By,https://www.whosampled.com/Dionne-Warwick/Walk-on-By/
Madonna,Borderline,https://www.whosampled.com/Madonna/Borderline/
Prince,Little Red Corvette,https://www.whosampled.com/Prince/Little-Red-Corvette/
Snoop Dogg,Gin and Juice,https://www.whosampled.com/Snoop-Dogg/Gin-and-Juice/
Lady Gaga,Born This Way,https://www.whosampled.com/Lady-Gaga/Born-This-Way/
M.I.A.,Paper Planes,https://www.whosampled.com/M.I.A./Paper-Planes/
Daft Punk feat. Pharrell,Get Lucky,https://www.whosampled.com/Daft-Punk/Get-Lucky/
Harry Styles,As It Was,https://www.whosampled.com/Harry-Styles/As-It-Was/
Bonnie Tyler,Total Eclipse of the Heart,https://www.whosampled.com/Bonnie-Tyler/Total-Eclipse-of-the-Heart/
Tom Petty,Free Fallin',https://www.whosampled.com/Tom-Petty/Free-Fallin%27/
