Artist,Song,Samples
Gnarls Barkley,Crazy,"[Last Men Standing by Gianfranco Reverberi and Gian Piero Reverberi], [Stop and Check Yourself by Garnet Mimms]"
Gin Blossoms,Hey Jealousy,No samples found.
Lesley Gore,It’s My Party,No samples found.
Calvin Harris feat. Frank Ocean & Migos,Slide,No samples found.
Arthur Conley,Sweet Soul Music,"[The Magnificent Seven Theme by Elmer Bernstein], [Yeah Man by Sam Cooke], [Fa-Fa-Fa-Fa-Fa (Sad Song) by Otis Redding]"
New Edition,Candy Girl,No samples found.
R.E.M.,Losing My Religion,No samples found.
Fergie feat. Ludacris,Glamorous,[If You Ain't Got No Money by Raheem the Dream]
Kris Kross,Jump,"[Funky Worm by Ohio Players], [I Want You Back by The Jackson 5], [O.P.P. by Naughty by Nature], [How I Could Just Kill a Man by Cypress Hill], [Impeach the President by The Honey Drippers], [Saturday Night by Schoolly D], [The Original Human Beat Box by Doug E. Fresh], [The Humpty Dance by Digital Underground], [Appetite for Destruction by N.W.A], [Back From Hell (Remix) by Run-DMC feat. Chuck D and Ice Cube]"
B.J. Thomas,Raindrops Keep Fallin’ on My Head,No samples found.
Avicii,Levels,[Something's Got a Hold on Me by Etta James]
Yvonne Elliman,If I Can’t Have You,No samples found.
Fatboy Slim,Praise You,"[Take Yo' Praise by Camille Yarbrough], [Balance & Rehearsal by Hoyt Axton and James B. Lansing Sound Inc.], [Fat Albert Theme by Ed Fournier and Ricky Sheldon], [Lucky Man by Steve Miller Band], [It's a Small World by Walt Disney Records Studio Group], [Running Back to Me by Ruby (Rock Band)], [What'd I Say by Rare Earth], [Joe Bell by Isaac Hayes], [You Should Be High Love by Billy Squier]"
Sean Paul,Get Busy,[Diwali Riddim by Lenky]
Simple Minds,Don’t You (Forget About Me),No samples found.
Smash Mouth,All Star,"[Hot Wind by Les Baxter], [Chicken Yellow by Miami], [The Breakdown (Part II) by Rufus Thomas], [Lift Off: Mystery of Space by Sound of Genesis], [Lunar Landing: Moon Plaque by Sound of Genesis], [You Baby by The Ronettes]"
Taio Cruz,Dynamite,No samples found.
The Captain & Tennille,Love Will Keep Us Together,No samples found.
Lisa Lisa & Cult Jam with Full Force,I Wonder If I Take You Home,No samples found.
Megan Thee Stallion feat. Beyoncé,Savage Remix,[Like That by Webbie]
The Emotions,Best of My Love,No samples found.
Natalie Imbruglia,Torn,No samples found.
Carl Carlton,Everlasting Love,No samples found.
Sonny & Cher,I Got You Babe,No samples found.
Def Leppard,Photograph,No samples found.
Ed Sheeran,Thinking Out Loud,No samples found.
Sir Mix-a-Lot,Baby Got Back,"[Technicolor by Channel One], [Me So Horny by Full Metal Jacket (movie)], [I Got Game by Sir Mix-a-Lot], [Seminar by Sir Mix-a-Lot]"
Divinyls,I Touch Myself,No samples found.
Lady A,Need You Now,No samples found.
Dusty Springfield,I Only Want to Be With You,No samples found.
Eve feat. Gwen Stefani,Let Me Blow Ya Mind,No samples found.
Katy Perry,Hot N Cold,No samples found.
Eminem,My Name Is,[I Got The... by Labi Siffre]
10cc,I’m Not in Love,No samples found.
Mark Morrison,Return of the Mack,"[Genius of Love by Tom Tom Club], [Games by Chuckii Booker], [Rocket in the Pocket (Live) by Cerrone], [UFO by ESG], [Feel the Heartbeat by The Treacherous Three], [The Humpty Dance by Digital Underground], [Peter Piper by Run-DMC]"
Go-Go’s,Our Lips Are Sealed,"[Hush, Little Baby by Traditional Folk]"
Natalie Cole,This Will Be,No samples found.
Jennifer Lopez feat. Styles P & Jadakiss,Jenny From the Block,"[Watch Out Now by The Beatnuts], [Heaven and Hell Is on Earth by 20th Century Steel Band], [South Bronx by Boogie Down Productions], [I'm Real (Murder Remix) by Jennifer Lopez feat. Ja Rule and Ashanti], [Loving You by Jennifer Lopez]"
The J. Geils Band,Centerfold,No samples found.
Jimmy Eat World,The Middle,No samples found.
Wilson Phillips,Hold On,No samples found.
"DJ Khaled feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross",All I Do Is Win,No samples found.
The Association,Windy,No samples found.
Gwen Stefani,Hollaback Girl,"[Another One Bites the Dust by Queen], [Nasty Boy by The Notorious B.I.G.], [Double Dutch Bus by Frankie Smith]"
Seal,Kiss From a Rose,No samples found.
Marvin Gaye,I Heard It Through the Grapevine,No samples found.
Jay-Z feat. UGK,Big Pimpin',"[Khusara Khusara by Hossam Ramzy], [170 Ahoo Yell by Roland Corporation]"
