Artist,Song,Samples
Wilson Phillips,Hold On,No samples found
"DJ Khaled feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross",All I Do Is Win,No samples found
The Association,Windy,No samples found
Gwen Stefani,Hollaback Girl,"[Double Dutch Bus by Frankie Smith],[Nasty Boy by The Notorious B.I.G.]"
Seal,Kiss From a Rose,No samples found
Marvin Gaye,I Heard It Through the Grapevine,No samples found
Jay-Z feat. UGK,Big Pimpin',No samples found
Peter Gabriel,Sledgehammer,No samples found
The Drifters,Under the Boardwalk,No samples found
Isaac Hayes,Theme From ‘Shaft',No samples found
Plain White T’s,Hey There Delilah,No samples found
Jackie Wilson,(Your Love Keeps Lifting Me) Higher and Higher,No samples found
Los Del Rio,Macarena (Bayside Boys Mix),No samples found
New Kids on the Block,You Got It (The Right Stuff),No samples found
Cherrelle with Alexander O’Neal,Saturday Love,No samples found
Toni Basil,Mickey,No samples found
Connie Francis,Stupid Cupid,No samples found
Demi Lovato,Give Your Heart a Break,No samples found
Tommy Tutone,867-5309/Jenny,No samples found
Pharrell feat. Jay-Z,Frontin',No samples found
Irene Cara,Flashdance…What a Feeling,No samples found
Lil Kim feat. Lil Cease,Crush on You,No samples found
Berlin,Take My Breath Away,No samples found
Alice Deejay,Better Off Alone,No samples found
Ella Mai,Boo’d Up,No samples found
The Dave Clark Five,Glad All Over,No samples found
Pretenders,Back on the Chain Gang,No samples found
Tony Bennett,I Left My Heart in San Francisco,No samples found
Real McCoy,Another Night,[Чуть-чуть by 3NMA & Bulvards]
The Romantics,What I Like About You,No samples found
Ciara feat. Petey Pablo,Goodies,No samples found
The Shangri-Las,Give Him a Great Big Kiss,No samples found
First Class,Beach Baby,No samples found
Debbie Gibson,Only in My Dreams,No samples found
Little Anthony and the Imperials,Tears on My Pillow,No samples found
Biz Markie,Just a Friend,"[Get Out of My Life, Woman by Lee Dorsey],[(You) Got What I Need by Freddie Scott]"
Nina Sky feat. Jibbs,Move Ya Body,No samples found
Right Said Fred,I’m Too Sexy,[Hot Pants (Bonus Beats) by Bobby Byrd]
Darlene Love,Christmas (Baby Please Come Home),No samples found
Roddy Ricch,The Box,No samples found
Badfinger,No Matter What,No samples found
En Vogue,My Lovin’ (You’re Never Gonna Get It),[The Payback by James Brown]
Harold Melvin and the Blue Notes,The Love I Lost,No samples found
Usher,You Make Me Wanna…,[Alea Pt. 2 by Div3s]
Luther Vandross,Never Too Much,No samples found
"Cam’Ron feat. Juelz Santana, Freekey Zekey & Toya",Hey Ma,No samples found
Roxette,It Must Have Been Love,No samples found
Ohio Express,Yummy Yummy Yummy,No samples found
Billy Ray Cyrus,Achy Breaky Heart,No samples found
Cassie,Me & U,No samples found
Rob Base & DJ EZ-Rock,It Takes Two,[It Takes Two by Rob Base & DJ E-Z Rock]
Stan Getz & Joao Gilberto,The Girl From Ipanema,No samples found
Bobby Brown,My Prerogative,No samples found
J Balvin & Willy William,Mi Gente,"[Voodoo Song by Willy William],[Heila Duila Nach by Akassh (Ft. Dilshad Nahar Kona)]"
The Angels,My Boyfriend’s Back,No samples found
Olivia Newton-John,Physical,No samples found
Nelly Furtado feat. Timbaland,Promiscuous,No samples found
The Kid LAROI & Justin Bieber,Stay,No samples found
